date,open,high,low,close,vol,spread
2009.05.03,988,988,988,988,100,0
2009.05.10,985,985,985,985,600,0
2009.05.17,989,989,989,989,600,0
2009.05.24,973,973,973,973,500,0
2009.05.31,968,968,968,968,500,0
2009.06.07,985,985,985,985,600,0
2009.06.14,990,990,990,990,400,0
2009.06.21,996,999,994,995,600,0
2009.06.28,995,1000,995,1000,600,0
2009.07.05,1001,1007,1001,1005,500,0
2009.07.12,1004,1004,1000,1000,600,0
2009.07.19,1000,1000,999,999,500,0
2009.07.26,1000,1004,1000,1000,600,0
2009.08.02,1000,1003,998,1003,600,0
2009.08.09,1003,1003,1001,1001,600,0
2009.08.16,1001,1002,997,997,600,0
2009.08.23,997,998,997,997,500,0
2009.08.30,997,999,997,997,600,0
2009.09.06,997,997,994,994,600,0
2009.09.13,993,995,992,992,500,0
2009.09.20,992,992,989,992,600,0
2009.09.27,991,996,991,996,600,0
2009.10.04,995,995,994,994,500,0
2009.10.11,993,994,993,994,500,0
2009.10.18,994,994,992,992,600,0
2009.10.25,992,999,991,999,600,0
2009.11.01,999,999,996,997,600,0
2009.11.08,996,996,993,995,600,0
2009.11.15,994,997,994,997,500,0
2009.11.22,997,998,995,996,500,0
2009.11.29,998,1001,997,1000,500,0
2009.12.06,1000,1004,1000,1004,500,0
2009.12.13,1003,1005,1002,1005,400,0
2009.12.20,1003,1008,1003,1008,300,0
2009.12.27,1005,1005,1003,1003,600,0
2010.01.03,1003,1005,1003,1003,600,0
2010.01.10,1002,1003,1001,1003,500,0
2010.01.17,1002,1008,1002,1007,600,0
2010.01.24,1012,1020,1011,1012,600,0
2010.01.31,1011,1011,1008,1009,600,0
2010.02.07,1009,1010,1009,1010,300,0
2010.02.14,1010,1010,1008,1008,500,0
2010.02.21,1008,1012,1008,1008,600,0
2010.02.28,1006,1006,1006,1006,300,0
2010.03.07,1006,1007,998,998,500,0
2010.03.14,998,1005,998,1005,400,0
2010.03.28,1004,1005,1002,1005,400,0
2010.04.04,1001,1007,1000,1003,600,0
2010.04.11,1003,1007,1002,1007,600,0
2010.04.18,1006,1012,1006,1012,600,0
2010.04.25,1012,1020,1012,1016,600,0
2010.05.02,1015,1028,1015,1028,600,0
2010.05.09,1027,1039,1025,1039,600,0
2010.05.16,1041,1044,1038,1038,500,0
2010.05.23,1035,1045,1035,1043,600,0
2010.05.30,1042,1047,1042,1046,500,0
2010.06.06,1065,1065,1053,1053,600,0
2010.06.13,1051,1051,1044,1044,600,0
2010.06.20,1044,1049,1042,1049,500,0
2010.06.27,1048,1056,1046,1046,600,0
2010.07.04,1046,1049,1046,1046,500,0
2010.07.11,1045,1046,1045,1046,500,0
